platform,case,n,n_sub_qr,n_sub_st,per_call_qr,per_call_st,per_call_speedup,sub_frac_qr,warm_wall_qr,warm_wall_st,warm_speedup,compile_qr,compile_st,it_qr,it_st,cost_reldiff
A100,HELIOTRON L6,327,26,26,9.037606000001338,8.29334126922495,1.0897424459714706,16.115339374054596,1.458099954000005,1.4353938620000122,1.0158187188904062,42.840576349999985,42.279254401,15,15,1.0782409926034938e-05
A100,precise_QA L6,491,29,30,14.124824448274387,12.031697133333333,1.1739677529899026,22.784188746453214,1.7978252969999744,1.7567520480000098,1.0233802197906783,45.35900018000004,45.80654452899998,15,15,6.609124721697608
A100,HELIOTRON L8,561,27,27,16.027680777776148,12.924634407412398,1.2400877481365449,24.73358957936594,1.7496343569999908,1.6593519269999888,1.0544082472988279,44.956389994000006,44.111162526000044,15,15,0.004479689273256353
A100,W7-X L6,723,30,27,28.026559199994004,20.94060633333617,1.3383833664537892,35.829987211059,2.346628735999957,2.08400814700002,1.126017064462049,43.862242999000046,45.57828214,15,15,0.17612816285111121
CPU (8 core),HELIOTRON L6,327,26,26,16.66926134566893,23.7712183073969,0.7012371486438265,34.24997867124896,1.2654045689996565,1.4523373240008368,0.8712883350775383,8.640121076998184,9.17891521499405,15,15,4.071248108245954e-07
CPU (8 core),precise_QA L6,491,30,30,35.195194698947795,44.270503565591454,0.7950032609591254,29.397603109696558,3.591639212994778,3.8705035210005008,0.9279514134291142,9.552380396002263,10.050505997998698,15,15,1.007254797701028e-05
CPU (8 core),HELIOTRON L8,561,27,27,46.788892741325846,55.80128192620274,0.8384913594494874,37.28418123384039,3.3883005130046513,3.717270003995509,0.911502395403814,9.151787971997692,9.00225967100414,15,15,0.0008734787695070587
CPU (8 core),W7-X L6,723,30,30,92.60652170002383,114.74869033287784,0.8070377224470175,37.5289824359595,7.402800370997284,8.579757855004573,0.8628215966117541,8.794093119002355,8.464801678994263,15,15,5.899355850039506e-05
